plesalec,plesalka,drzava,kategorija,idplesalca
Siegfried Garscha,Brigitte Garscha,Germany,Senior IV,Siegfried_Garscha-c6ebca95-031b-43c6-8160-9e140160c52a
Bernd Kohlen,Hiltrud Kohlen,Germany,Senior III,Bernd_Kohlen-94d529bf-8aa5-4ab8-935f-9e140160c63e
Jens Riedel,Silka Riedel,Germany,Senior II,Jens_Riedel-d2d8fa5d-d177-4d23-8930-9e140160c6c1
Lorenzo Alberetti,Martina Dionigi,Italy,Adult,Lorenzo_Alberetti-4ca50138-cb9a-4dbf-8590-a07600434530
Ville Hayrynen,Sanna Kakko,Finland,Senior I,Ville_Hayrynen-0993ff5f-bf76-4e37-92de-9e14012d9340
Eros Sciamanna,Anna Angelika Jaglinska,Poland,Adult,Eros_Sciamanna-4d857183-c2d2-4da1-a37d-9e14012968e6
Ionut Cristin David,Iringo Imola Farkas,Romania,Adult,Ionut_Cristin_David-e226f563-0f1c-43d8-ba38-9e14012a551c
Andrea Civita,Eleonora De Mitri,Albania,Adult,Andrea_Civita-cf7aa0ff-4738-480b-bca3-9e14012c7429
Edgars Linis,Eliza Ancane,Latvia,Adult,Edgars_Linis-6e8cdb09-e745-45ab-b5e0-9e140121ea40
Enrico Agovino,Pasqualina Mirabella,Italy,Adult,Enrico_Agovino-e8a5a647-4f46-4ed0-b2e5-9e1401209569
Vlad Chirila,Teodora Maria Cristache,Romania,Adult,Vlad_Chirila-4413b134-f77d-43db-9109-9e140123643c
Sebastian Aigner,Caroline Amsuess,Austria,Adult,Sebastian_Aigner-500b2597-b530-46be-b1f6-9e1401248ce8
Michael Puglisi,Rosaria La Rosa,Italy,Adult,Michael_Puglisi-bf06301a-f381-4544-b864-9e1401249d7d
Roman Lachner,Claudia Lachner,Austria,Senior II,Roman_Lachner-97231b09-642d-46d9-9279-9e4000e3c13c
Gerald Blaschke,Doris Blaschke,Austria,Senior II,Gerald_Blaschke-7b6d843d-0725-40ac-ad64-9e4000e3c141
Gerald Aigner,Melanie Aigner,Austria,Senior I,Gerald_Aigner-ec3ea36b-5da7-4eec-bc11-9e4000e3c146
Mario Unger,Andrea Unger,Austria,Senior I,Mario_Unger-2c01dfb4-0849-4f73-9669-9e4000e3be2f
Mario Urban,Zelka Nickel-Skerenova,Austria,Senior I,Mario_Urban-735d7817-0b90-4fbf-a639-9e4000e3be38
Yury Lagozin,Natalia Fomina,Russian Federation,Senior III,Yury_Lagozin-de8dd7b9-ba3d-4433-bb59-9e9100b1e7ad
Alberto Naya Ferrando,Maria Pilar Lasala Calleja,Spain,Senior III,Alberto_Naya_Ferrando-eec1af13-28d7-404e-b73a-9e4000e3c4f2
Elias Pitkanen,Kaisa Alitalo,Finland,Youth,Elias_Pitkanen-13ee69de-3a7a-4cb6-96c3-9e140137a4b9
Gregor Novak,Angelika Scheid,Austria,Adult,Gregor_Novak-23840eba-7433-4a26-9dcc-9e4000e3c15d
Antony Rinaldi,Gaia Montuori,Italy,Adult,Antony_Rinaldi-256f5690-c447-414b-98e6-9e14015f7223
Michal Galek,Klaudia Kedzierska,Poland,Adult,Michal_Galek-f660bc05-c945-4efc-a2d1-9e14012b37b5
Jan Maciolka,Agnieszka Maciolka,Poland,Adult,Jan_Maciolka-e93c3820-c169-428f-bdef-9f6800449472
Giuseppe Fiamingo,Valentina Emanuele,Argentina,Adult,Giuseppe_Fiamingo-326c6243-db08-4839-a573-9e14015c723a
Segundo Ruiz         Ruiz,Isabel Torrente    Martinez,Spain,Senior III,Segundo_Ruiz_________Ruiz-85157411-c147-4abb-9697-a181010a5973
Lorenzo Erasmo,Marika De Lasa,Italy,Youth,Lorenzo_Erasmo-be2e534f-e702-4307-b2f2-a0d8004381a3
Marco Zaganelli,Eva Teloni,Italy,Adult,Marco_Zaganelli-68b734b7-a261-4220-a838-a19700a8fcf1
Giuseppe Vincenzo Albanese,Concetta Mancini,Italy,Senior IV,Giuseppe_Vincenzo_Albanese-62df8e2a-e50e-40cc-a6e3-a19500fcc2d7
Moreno Taddei,Simonetta Possanzini,Italy,Senior III,Moreno_Taddei-e06b2386-298a-4362-a022-a195009c4d79
Mario Rej,Antonella Pisacane,Italy,Adult,Mario_Rej-4649755e-2143-46af-8819-a1a100aba83a
Cristian Cabanillas,Georgina Casco,Spain,Adult,Cristian_Cabanillas-23932f36-7869-4c8f-a905-9fd50043b272
Christian Antoniol,Anna Zambon,Italy,Adult,Christian_Antoniol-4080145e-e135-4f0c-b1cf-a14600e8e60f
Joan Martinez Ortega,Emilia Martinez,Spain,Senior IV,Joan_Martinez_Ortega-bd6b916a-c1c9-40b5-853b-a14201191532
Graziano Biagioli,Emanuela Nardini,Italy,Senior III,Graziano_Biagioli-b76c5237-5fa1-4b3e-966a-9e140138365f
Carlos Antonio Alonso Fernandez,Maria Jose Elexpuru Lopez,Spain,Senior IV,Carlos_Antonio_Alonso_Fernandez-5dc66674-2e20-4a8e-973e-a3b900edbfe9
Kari Liukkonen,Anne Liukkonen,Finland,Senior II,Kari_Liukkonen-23cb9580-e922-496e-8dc7-9e14012bf472
Salvatore Amico,Erica Bressan,Italy,Senior II,Salvatore_Amico-c00abbd6-f029-4741-986c-9e4b00537643
Michael Schmelzle,Patricia Schmelzle,Germany,Senior I,Michael_Schmelzle-97348a82-690b-4105-8417-9e4000e3c03f
Michael Breyer,Sabine Breyer,Germany,Senior II,Michael_Breyer-ec35016d-997b-4605-b5c9-9e4000e3bf39
Aria Baniahmad,Yvonne Boehme,Germany,Senior I,Aria_Baniahmad-6ca06747-d19a-4c72-a3db-9e4000e3be0e
Wolfgang Kesseler,Noemi Mark,Germany,Senior II,Wolfgang_Kesseler-53fa609b-a936-40f2-9cd4-9e4000e3bdc8
Daniel Schmuck,Veronika Obholz,Germany,Youth,Daniel_Schmuck-ec210b93-fa25-4170-b95f-9e140160e64f
Johannes von Jagemann,Alexandra von Jagemann,Germany,Adult,Johannes_von_Jagemann-37a455b7-f1db-4e93-8a19-9e140160eaa9
Juergen Kuberczyk,Birte Kuberczyk,Germany,Senior II,Juergen_Kuberczyk-106458e8-6c5e-4e7c-a111-9e4000e3bda2
Sven Rosanski,Anastasia Konor,Germany,Junior II,Sven_Rosanski-2e0c5595-411c-4adb-b647-9e140160e47b
Guenther Krippner,Annette Krippner,Germany,Senior III,Guenther_Krippner-4f38d4a0-35bb-4d9a-a975-9e140160d6ad
Karsten Samaschke,Friederike Zelke,Germany,Senior I,Karsten_Samaschke-fd5cfe1f-d443-4c2c-9218-9e140160d7bd
Markus Scheffler,Monika Scheffler,Germany,Senior I,Markus_Scheffler-0bcc6da1-5af9-44de-b7ec-9e140160d7d9
Dominik Stoeckl,Katharina Belz,Germany,Adult,Dominik_Stoeckl-1238d2f9-ef9d-45dc-accf-9e140160d7fa
Dietmar Joppa,Angela Joppa,Germany,Senior II,Dietmar_Joppa-c2a86397-e907-4eda-ac1a-9e140160d81a
Efrem Kuzmichenko,Samira Hafez,Germany,Junior II,Efrem_Kuzmichenko-bdf6ea3f-6611-4bfa-8fe0-9e140137769e
Fabian Loew,Valentina Gabriele,Germany,Adult,Fabian_Loew-539775c4-8697-4767-b869-9e14013704c7
Nikita Yatsun,Elisabeth Yatsun,Germany,Youth,Nikita_Yatsun-7ed0482b-b091-438f-a220-9e140134003a
Nick Sommerauer,Theresa Lucia Koch,Germany,Youth,Nick_Sommerauer-47842ef0-dacf-4224-97bb-9e14013401cc
Leon Cacciola,Nicol Cacciola,Italy,Adult,Leon_Cacciola-8c231288-a461-4d8f-962c-9fa70043bc1b
Vincenzo Carrozza,Maria Carmela Zezze,Italy,Senior III,Vincenzo_Carrozza-152c627c-c586-4b07-8f2c-a15d00f51f3e
Enrico Navoni,Veneranda Grossato,Italy,Senior IV,Enrico_Navoni-22ed8e44-2cfa-4161-af4b-a14900be2d82
Raffaele Panizzolo,Luisa Albertario,Italy,Senior IV,Raffaele_Panizzolo-108a00cc-4086-491e-b7b1-a25900b845e3
Kai Sum Sam Liu,Wan Hin Liu,Hong Kong,Adult,Kai_Sum_Sam_Liu-58c7e07a-908b-4384-9f3a-9f1e004373b0
Raimon Llobregat Diez,Lluisa Saura March,Spain,Senior IV,Raimon_Llobregat_Diez-943dad33-6041-43f7-b6a5-a181010bd024
Pavel Stejskal,Miroslava Hrstkova,Czech Republic,Senior II,Pavel_Stejskal-2c20a764-ebb9-42be-b0c3-9fe900c56b35
Istvan Cseh,Laura Adam,Hungary,Senior I,Istvan_Cseh-a9e8ad77-d247-4612-bc13-9e4200d0cc94
Pietro Carlo Zunino,Laura Scala,Italy,Senior IV,Pietro_Carlo_Zunino-e8e7e407-8c88-49e3-96c3-9e4b005377ab
Jiri Gatnar,Marta Sygiet,Poland,Adult,Jiri_Gatnar-a18a441b-488d-4a8a-b3cb-9e140120d3f8
Edgaras Baltaragis,Indre Kucinskaite,Lithuania,Adult,Edgaras_Baltaragis-e8b6acb0-3762-448d-9679-9e1401220f45
Firat Faik Ikiler,Damla Cobaner,Turkey,Adult,Firat_Faik_Ikiler-7ff3bdff-6ee6-4d17-ac63-9e1401550f9b
Marko Wessel,Angela Wessel,Germany,Senior II,Marko_Wessel-1f1f61e5-34b2-4e4c-8ab6-9e4000e3c3ec
Holger Wenzel,Sabine Linke,Germany,Senior II,Holger_Wenzel-12527d77-7f36-4dd7-a70c-9e140129fc56
Fabio Tupputi,Ilenia Buccardo,Italy,Adult,Fabio_Tupputi-d43b412d-15c6-4ae6-ad1b-a0e1004383ba
Antonio Lionetti,Antonella Ilaria Rizzi,Italy,Youth,Antonio_Lionetti-e08b68a2-7fc5-4309-b41c-a0e1004383e8
Renzo Lembo,Rosa De Caro,Italy,Senior IV,Renzo_Lembo-5762d4e0-be42-494d-9f8b-a19700e92d98
Charles Albano,Marilena Ftattajuoli,Italy,Senior III,Charles_Albano-38a15130-af5a-479b-9f30-a17300ad1a9d
Alessandro Niccoli,Clara Ceccolini,Italy,Senior IV,Alessandro_Niccoli-788bcddf-dbf4-4434-9687-a3a000c4c30b
Josef Broz,Irmgard Broz,Austria,Senior IV,Josef_Broz-bf7bffae-4b19-4a41-bb5b-9e4000e3c162
Adam Pluciennik,Klaudia Marcinkiewicz,Poland,Youth,Adam_Pluciennik-491385da-850f-4926-ab4a-a10b00439fc3
Sergiy Krasnoshlyk,Olena Fomicheva,Ukraine,Adult,Sergiy_Krasnoshlyk-8fc38caf-02f0-4b5d-bcc3-9e14012144f3
Ihar Mashkou,Yana Kastsiuk,Belarus,Adult,Ihar_Mashkou-fe0da6a3-3e03-4bbe-bbc5-a176008a0e22
Tanguy Massart,Quitterie Tauzia Massart,France,Senior II,Tanguy_Massart-e7b5cc45-6667-4833-b44f-a25a00c53e7b
Uladzislau Niafiodau,Darya Hirzhon,Belarus,Adult,Uladzislau_Niafiodau-d04e5197-626e-4835-9e7d-9f170043517c
Viacheslav Dobrov,Yana Lvova,Russian Federation,Adult,Viacheslav_Dobrov-46f1dde4-54f5-4adf-a83a-9ee4014080bb
Simo Hautamaki,Tuula Hautamaki,Finland,Senior III,Simo_Hautamaki-8292b2f8-5f21-4c14-b707-9e4000e3c53d
Terho Laitinen,Merja Hiekkalahti,Finland,Senior III,Terho_Laitinen-2acc4247-e22b-4a86-b8c9-9e4000e3c550
Moreno Carnelli,Michela Saggiorato,Italy,Senior II,Moreno_Carnelli-31ac6717-44bf-455b-b670-9e1401204492
Dawid Konopinski,Klaudia Szyc,Poland,Adult,Dawid_Konopinski-fbed9e2b-48ca-414a-b54b-a12c0043a7de
Thomas Gruber,Laura Puchtler,Austria,Adult,Thomas_Gruber-bca79eaf-02a4-40e8-ac4d-9e4000e3c78b
Krystian Kazanowski,Angela Kazanowski,Canada,Adult,Krystian_Kazanowski-62d24943-6b3f-467c-8e05-9e4100b69b81
Kurt Hawlicek,Inge Hawlicek,Austria,Senior III,Kurt_Hawlicek-2847cecd-34ad-47b6-b7ee-9e5100536237
Ivan Synyshyn,Anna Bizhok,Ukraine,Adult,Ivan_Synyshyn-95fb22cf-1893-481e-b7f6-9e860053417d
Armen Tsaturyan,Svetlana Gudyno,Russian Federation,Adult,Armen_Tsaturyan-bb9aaf42-fdf6-4a9a-82d2-9e1401371001
Igor Wilczynski,Karolina Urban,Poland,Adult,Igor_Wilczynski-b67f1158-4106-4739-a0c7-9e14013161ec
Vadim Marks,Kristina Avakian,Russian Federation,Adult,Vadim_Marks-b9ef605b-596f-4dca-bdf2-9e14012f5e39
Sergey Ternovskikh,Valeria Afanasieva,Russian Federation,Adult,Sergey_Ternovskikh-4ce4cac5-7d81-4754-b527-9e140122c8e1
Samuele Giacobbo,Giulia Zulian,Italy,Adult,Samuele_Giacobbo-7e59f333-1746-497a-a74b-a0df0043abd8
Ilya Shabunia,Zhanna Haleyeva,Belarus,Adult,Ilya_Shabunia-d164fb71-8b79-40b1-a0f3-a17b01511405
Andreas Brockop,Silke Ohlendorf,Germany,Senior II,Andreas_Brockop-2aa8da47-e62d-444f-8b41-9e140155d9e8
Luigi Spina,Marianna Tataranni,Italy,Adult,Luigi_Spina-00661831-b918-4511-b396-a0e10043855a
Sergiy Shaf,Olga Shaf,Ukraine,Senior II,Sergiy_Shaf-aa603878-aaec-4a32-bbac-9ffe00442734
Telmo Madeira,Vanessa Ferrao,Portugal,Adult,Telmo_Madeira-4e3f693d-1bf2-4b19-b016-9e14012b75de
Titus Ablorh,Natalia Bekker,Czech Republic,Adult,Titus_Ablorh-f3f56fe7-b9ff-4a57-8e78-9e14012af8b6
German Enriquez,Ma Danella Renee Publico,Philippines,Adult,German_Enriquez-14323e80-432e-4bef-a06c-9e14012c5000
Evgeny Salny,Dinara Kremcheeva,Russian Federation,Adult,Evgeny_Salny-c951529e-25b8-4cb0-8144-9e14012d19eb
Maxim Seliverstov,Victoria Russkikh,Russian Federation,Adult,Maxim_Seliverstov-d50c369c-b806-4dc0-9389-9e140129eeb8
Jan Kotek,Jana Dostalova,Czech Republic,Adult,Jan_Kotek-937c17df-c015-419f-a949-9e140129f272
Radim Stupka,Tereza Jendrulkova,Czech Republic,Adult,Radim_Stupka-298096eb-8f7c-47af-8dd9-9e140128101c
Jiri Vala,Aneta Krejci,Czech Republic,Adult,Jiri_Vala-e425dcbc-8905-46ac-aaf6-9e140128c6ab
Igor Mitin,Elena Zharkova,Russian Federation,Senior III,Igor_Mitin-0efcf0d0-614b-4cc6-8d84-9e14012fe3ad
Sergey Nagovitsyn,Ekaterina Kundius,Russian Federation,Adult,Sergey_Nagovitsyn-05888314-d571-4e5f-960c-9e1401316dc4
Bogdan Voicu,Ana Dima,Romania,Adult,Bogdan_Voicu-2ce7517a-52a9-4b25-8601-9e140132cc50
Roman Shcherbina,Anna Khomiakova,Russian Federation,Senior I,Roman_Shcherbina-00a28f4c-f20a-4cc0-8a41-9e140122e6d3
Sergey Yurchenko,Olga Khokhlova,Russian Federation,Adult,Sergey_Yurchenko-48d511a7-82bc-49c1-8eac-9e1401226de5
Felix Locher,Silvia Nater,Switzerland,Senior I,Felix_Locher-9621e326-086b-4725-98e6-9e1401226e0a
Pavel Shishov,Victoria Kharitonova,Russian Federation,Adult,Pavel_Shishov-79241553-8497-41a3-be91-9e140122edae
Nebojsa Urosevic,Marija Trnanic,Serbia,Adult,Nebojsa_Urosevic-72ead1b7-ffc5-4205-a400-9e140127d24d
Alexey Kiselev,Veronika Sonina,Russian Federation,Adult,Alexey_Kiselev-ba787892-4f4d-48fc-8411-9e140126ba44
Andreas Katsikarelis,Eleni Papadopoulou,Austria,Senior I,Andreas_Katsikarelis-3d3eb48b-e723-4573-86c9-9e140123f3ed
Kirill Voronin,Tatiana Kosenko,Russian Federation,Adult,Kirill_Voronin-7c5f6515-fc49-446d-87eb-9e1401209ff1
Aliaksandr Aliashkevich,Aliaksandra Zhaunerka,Belarus,Adult,Aliaksandr_Aliashkevich-e11d1884-9185-41b7-aaf4-9e14015ad8a7
Chee Seng Edwin Teo,Cheer Ching Kimberly Tan,Malaysia,Adult,Chee_Seng_Edwin_Teo-fe8f57bb-0286-432a-8d40-9e14015be7c3
Dmitri Korolev,Ekaterina Tsarik,Russian Federation,Adult,Dmitri_Korolev-52049859-8daa-4dba-9e15-9e14015c495e
Hans Christian Kogsboll,Charlotte Winding Larsen,Denmark,Adult,Hans_Christian_Kogsboll-142f598d-f993-4542-88db-9e14015bc84d
Sergey Mikriukov,Liubov Vakhrusheva,Russian Federation,Adult,Sergey_Mikriukov-4651cce9-e4e1-4d0c-8797-9e14015bb1be
Dmitry Mikaya,Olga Mikaya,Russian Federation,Senior I,Dmitry_Mikaya-ca43d600-fbe4-4f6a-87c0-9e140137cbae
Anton Klendy,Yana Vasilieva,Russian Federation,Adult,Anton_Klendy-a81a937d-0fc7-4ea0-ab7b-9e140137c6f6
Pedro Pozo,Gloria Goldsack,Chile,Senior II,Pedro_Pozo-88402d7c-8058-4cc2-8361-9e1401341b31
Florin Talpes,Roxana Mariuca Talpes,Romania,Senior III,Florin_Talpes-04dcc108-2d90-4894-bae7-9e86005342fd
Stefan Cloudt,Eline Cloudt,Netherlands,Adult,Stefan_Cloudt-90256fa8-d6c8-45ae-9c72-9e7000534ac2
German Lobkov,Elena Tsarkova,Russian Federation,Adult,German_Lobkov-4b5b13c1-942c-4b25-a378-9e960086d47a
Artem Kepper,Irina Zakharova,Russian Federation,Adult,Artem_Kepper-7b2807a5-0d6d-4f8d-b559-9e960086d48d
Alexandr Riazanov,Ekaterina Timshina,Russian Federation,Adult,Alexandr_Riazanov-d0df3574-5757-429c-bb4b-9e960086d527
Alexandr Boytsov,Irina Gladkikh,Russian Federation,Senior III,Alexandr_Boytsov-74ed0370-518c-46af-943b-9e9b0043156f
Artem Skripko,Lilia Nedopekina,Russian Federation,Adult,Artem_Skripko-c7d97023-bc2a-4f81-a351-9e9d0042b330
Sergey Melnichenko,Natalia Poliakova,Russian Federation,Adult,Sergey_Melnichenko-72915367-5641-4d30-b8f4-9e9d0042b335
Kirill Kozhevnikov,Ekaterina Mochalova,Russian Federation,Adult,Kirill_Kozhevnikov-7050169e-3437-4171-8911-9e9d0042e394
Denis Kropotkin,Daria Moreva,Russian Federation,Adult,Denis_Kropotkin-acb530ee-d719-4808-a460-9e9d0042e399
Roland Harrer,Camilla Mader,Austria,Senior I,Roland_Harrer-6004d26e-b097-4120-9ff1-9ea000b6e237
Nikita Boenko,Julia Stakheeva,Russian Federation,Adult,Nikita_Boenko-4dda42c1-06bf-41d7-83e8-9ea40042e608
Vladislav Abushenko,Daria Sizikova,Russian Federation,Youth,Vladislav_Abushenko-88bc888a-d7d1-4f71-929d-9ec500429caa
Ilya Kirshak,Natalia Tikhonova,Russian Federation,Adult,Ilya_Kirshak-6dada2cc-060f-4a6d-ae83-9ea40043162f
Tagir Vafin,Ekaterina Cherkasova,Russian Federation,Adult,Tagir_Vafin-066025f9-6300-4e6f-bff2-9ea40042e928
Nazar Khusnutdinov,Elizaveta Zhuravleva,Russian Federation,Adult,Nazar_Khusnutdinov-7e19b661-6baa-4dae-b05f-9ee4014080c0
Ivan Khrenov,Anna Maltseva,Russian Federation,Adult,Ivan_Khrenov-546d7808-5b90-402c-ab27-9ee4014080c4
Alexandr Ivanov,Maria Usanina,Russian Federation,Adult,Alexandr_Ivanov-793e7861-d5a2-4781-a8bd-9ee40140811d
Dmitry Fedorin,Svetlana Terenina,Russian Federation,Adult,Dmitry_Fedorin-1cb6fb83-8cec-44fb-8a0c-9ee401408189
Mikhail Makarov,Ekaterina Maslennikova,Russian Federation,Adult,Mikhail_Makarov-e055ccd0-7308-465b-a5db-9ee40140818e
Vasily Trofimov,Anastasia Gorokhova,Russian Federation,Adult,Vasily_Trofimov-40321a55-0f36-4946-83e2-9ee401408197
Edgardo Ladimo,Winifreda Constantino,Philippines,Senior II,Edgardo_Ladimo-8f6aea64-d53a-445f-b653-9eda00b6849f
Gilbert van den Andel,Anke Kapitein,Netherlands,Senior I,Gilbert_van_den_Andel-2e8a7198-3699-4c1d-a9a5-9ee1004370da
Bert Huizing,Nicole Elbers,Netherlands,Senior II,Bert_Huizing-b16ac7d1-0990-45a3-bf42-9ee1004370df
Zsolt Balint,Luca Andrada,Romania,Adult,Zsolt_Balint-3699e956-6091-4a8d-ba57-9ece0042e8b0
Wilbert Aunzo,Pearl Marie Caneda,Philippines,Adult,Wilbert_Aunzo-d2d7e397-cab5-40eb-b590-9ec70042b24c
roland mizzon,mireille Mizzon,France,Senior IV,roland_mizzon-ccbd0310-c973-48af-b35e-9ec70042b272
Vlad Sergiu Tigu,Aitana Budugan,Romania,Adult,Vlad_Sergiu_Tigu-70510d41-5dd5-4251-b8e5-9ece0042e86e
Pop George,Madalina Mare,Romania,Adult,Pop_George-94d3aeab-f4e8-4ef8-96be-9ece0042e894
Georgy Eristavi,Tatiana Khamula,Russian Federation,Adult,Georgy_Eristavi-81d5281b-6070-495f-b4e3-9ed500431c84
Vladislav Tkachenko,Alexandra Tarasenko,Russian Federation,Adult,Vladislav_Tkachenko-0eb73657-1061-4997-a47f-9ed500431cf9
Willem Foppen,Christel Foppen,Netherlands,Senior II,Willem_Foppen-99c8094b-dd2b-424b-acae-9ee4014081f4
Marko Orehek,Natja Orehek,Slovenia,Senior II,Marko_Orehek-4cd79f26-5211-4d58-a335-9ee401408207
Edwin Bakker,Tea Hof,Netherlands,Senior II,Edwin_Bakker-49ba14c2-0c6b-462d-93aa-9f000044d0c9
Nils Jugans,Anna Elizabete Kalnina,Latvia,Adult,Nils_Jugans-25ef4ebb-a8b3-418e-b80e-9f030044e92d
Sietse de Ridder,Marielle Leonupun,Netherlands,Senior I,Sietse_de_Ridder-ed4dd251-0112-4c55-ba91-9f06004341b4
Yauhen Zhukau,Iryna Zhukava,Belarus,Senior III,Yauhen_Zhukau-35bcb9a8-a539-4cb2-9667-9f1700435180
Angelo Pereira,Margarida Moreira,Portugal,Senior III,Angelo_Pereira-5282004e-c9a0-4932-a942-9f2100433be1
Jos Broecks,Laura van Drunen,Netherlands,Adult,Jos_Broecks-7f504a97-894d-4ba1-be45-9f140043a8cc
Thomas Doodkorte,Kelly Basoski,Netherlands,Adult,Thomas_Doodkorte-70264dd0-414c-4b95-afb0-9f140043a959
Uladzislau Shvedau,Yana Grabickaya,Belarus,Adult,Uladzislau_Shvedau-9d5efc62-5149-428a-bc5e-9f1600435a1e
Joep Mutsaerts,Sulekha Buhala,Switzerland,Senior I,Joep_Mutsaerts-99f76996-431b-4370-80e8-9f1b00437158
Sergey Shliakhturov,Elizaveta Kariakina,Russian Federation,Adult,Sergey_Shliakhturov-9d15c8e4-0f7b-404b-b089-9f2600435e11
Sergio Ferreira,Ana Isabel Sousa,Portugal,Senior I,Sergio_Ferreira-08e0fd5c-f074-47e8-8912-9f3c00440a48
Anatoly Lesnikov,Tatiana Lesnikova,Russian Federation,Senior III,Anatoly_Lesnikov-6b5ed4f5-de95-4cc6-907c-9f2f0043a527
Oleg Grachev,Alla Khaliullova,Russian Federation,Senior II,Oleg_Grachev-80d68935-7a16-4e1b-b17f-9f2f0043a527
Andrey Sviridov,Nadezhda Chernyshova,Russian Federation,Senior II,Andrey_Sviridov-83be5a59-5539-4242-94fd-9f500043eb68
Ignat Calasnic,Olivia Gjelfort,Denmark,Adult,Ignat_Calasnic-a5f2924c-e8b8-49fc-bc74-9e1401608d84
Andrey Blokhin,Valeria Blohina,Russian Federation,Adult,Andrey_Blokhin-9dd2641b-a21d-4ab4-9432-9e14016013df
Andrey Baikenov,Yaroslava Kuznetsova,Kazakhstan,Youth,Andrey_Baikenov-a56271cb-b5ff-4db0-85a1-a01b0043a521
Sergiy Derkach,Valeriya Derkach,Ukraine,Youth,Sergiy_Derkach-2bad43cc-f1a4-4985-9552-a02900454931
Andrei Yarashevich,Sviatlana Kavaliova,Belarus,Senior II,Andrei_Yarashevich-e7f7e0d0-fb4b-4905-b6e6-9fd50043b118
Alexey Unshchikov,Oxana Rogova,Russian Federation,Adult,Alexey_Unshchikov-e2e4248b-f2e3-49da-b5b3-9fd700436c51
Dmitry Koshliak,Evgenia Pidenko,Russian Federation,Adult,Dmitry_Koshliak-d7320d7b-85c2-47d3-bf3d-9fcf00437a3c
Pavel Radin,Olga Khanaeva,Russian Federation,Adult,Pavel_Radin-6576a4e7-b153-464b-86f2-9fcf00437a74
Darius Matusevicius,Henrika Matuseviciene,Lithuania,Senior I,Darius_Matusevicius-42a3443b-4c0f-41d6-91fe-9fb300440ab8
Viacheslav Lebed,Nadezhda Lebed,Russian Federation,Adult,Viacheslav_Lebed-1fbc3de5-6748-4499-adcd-9fb1004405b1
Henadi Karcheuski,Volha Karcheuskaya,Belarus,Senior II,Henadi_Karcheuski-b34ea9e8-c44c-4292-a2c9-9fcb00436663
Alexandr Ezhov,Victoria Ludanova,Russian Federation,Senior I,Alexandr_Ezhov-c0438652-0bdb-4e61-a964-9fc20043784e
Werner Evers,Coby Evers,Netherlands,Senior III,Werner_Evers-d309575e-7538-4315-b8a5-9fc80043a85f
Savin Kotnik,Zala Kotnik,Slovenia,Adult,Savin_Kotnik-50add31a-1db8-479f-a6be-9fbc00445326
Maxim Yanchenko,Evgenia Sulkovskaya,Russian Federation,Senior I,Maxim_Yanchenko-b4bf4221-d421-46b6-b1ea-9fc000436ef2
Alar Kess,Margit Bahtin,Estonia,Senior II,Alar_Kess-2456cd2d-58ef-4577-9ebf-9fc100437164
Aleksandar Petrovic,Jelena Tapuskovic,Serbia,Adult,Aleksandar_Petrovic-46101845-3fae-46f2-bb5c-9f6b004496ef
Nerijus Stukas,Laura Montvilaite,Lithuania,Senior I,Nerijus_Stukas-1984e254-65ed-4b47-98b9-9f9f004416ae
Xander Muller,Nicole Hooijen,Netherlands,Senior I,Xander_Muller-deb493a4-752f-43bb-b082-9f9f004414a2
Andrey Timkin,Marina Biserova,Russian Federation,Senior I,Andrey_Timkin-e5fbacb3-5a22-4e9f-aa18-9f9f004415ee
Evgeny Sevastianov,Elena Mishina,Russian Federation,Senior II,Evgeny_Sevastianov-a2e49179-26cb-463b-975d-9f9f004415f3
Lubomir Yakimov,Valentina Radeva Markova,Bulgaria,Adult,Lubomir_Yakimov-3f197aad-e959-4698-af06-9f920033af95
Ognjen Dukanac,Andjela Cucakovic,Serbia,Adult,Ognjen_Dukanac-4d40c640-bf56-4eb7-84c7-9f960033ef3e
Ivan Golovkin,Ksenia Sazonova,Russian Federation,Adult,Ivan_Golovkin-2bbb9222-278d-4722-9f06-9f990043bf1e
Mauk den Elzen,Anneke den Elzen-Janknegt,Netherlands,Senior IV,Mauk_den_Elzen-46c958d1-95a0-4012-9fb5-9f9a0043eb9e
Evert Diepeveen,Margriet Diepeveen-van Tuil,Netherlands,Senior II,Evert_Diepeveen-debb5370-7643-4726-8fc7-9f9a0043ebf7
Serhiy Sluk,Olha Sluk,Ukraine,Adult,Serhiy_Sluk-91f7bcfe-43ea-4d13-8886-a08400436ee4
Hans Bauer,Paula Silva,Chile,Adult,Hans_Bauer-2fd75e50-8bca-4d41-945c-a2110104fbdd
Vladislav Bernyk,Alina Koshlakova,Austria,Adult,Vladislav_Bernyk-7f24dd61-e1c9-4fca-a1f2-a0360045ab09
Arturas Grebliauskas,Beata Grebliauskiene,Lithuania,Senior II,Arturas_Grebliauskas-b3c2b45b-43e6-47cf-a772-9f45007b0c95
Roberto Cirulli,Antonina Bertino,Italy,Senior I,Roberto_Cirulli-6dde5526-844e-4af3-b37f-9fa70043bdc1
Ilja Davidovs,Katrina Kora Klapere,Latvia,Adult,Ilja_Davidovs-212cfd3e-016b-4908-8095-9fd10043909b
Mark Sergej,Agnese Zuna,Latvia,Adult,Mark_Sergej-cae44fda-b1d7-474e-95bd-9fd1004390d4
